"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","gene_name"
"ENSG00000152583",997.444732611474,4.57496679448101,0.184241415529508,24.8313701961777,4.110667081532e-136,7.4123548814185e-132,"Up","SPARCL1"
"ENSG00000165995",495.095686525811,3.29109887177952,0.13305273947378,24.7352958292759,4.46338440427616e-135,4.02418737889539e-131,"Up","CACNB2"
"ENSG00000120129",3409.03835490143,2.94784977790595,0.121876435980425,24.187200373823,3.03383956719317e-129,1.82353983585424e-125,"Up","DUSP1"
"ENSG00000101347",12703.4128252398,3.76702165770114,0.155991949354244,24.1488209698987,7.68265721229317e-129,3.46334187130176e-125,"Up","SAMHD1"
"ENSG00000189221",2341.78067569054,3.35365484627241,0.142180986013375,23.5872245671228,5.21270576452875e-123,1.87991020691965e-119,"Up","MAOA"
"ENSG00000211445",12285.7000547124,3.73043925959341,0.166398396768505,22.4187211658249,2.58505912900232e-111,7.7689643690283e-108,"Up","GPX3"
"ENSG00000157214",3009.27287526155,1.97679565168803,0.0904251236941747,21.861132956519,6.09134865192046e-106,1.56913141273471e-102,"Up","STEAP2"
"ENSG00000162614",5393.11454093552,2.03569683138985,0.0946846972705048,21.4997448381133,1.56546234486846e-102,3.5285521253335e-99,"Up","NEXN"
"ENSG00000125148",3656.26740037453,2.211005678728,0.106090564182505,20.8407382481676,1.84964422669747e-96,3.70586496620099e-93,"Up","MT2A"
"ENSG00000154734",30315.1131700161,2.34563484246283,0.116359625491707,20.1584942590762,2.26675656906762e-90,4.08741544534273e-87,"Up","ADAMTS1"
"ENSG00000139132",1223.46315207371,2.22892888511727,0.113079591204757,19.71115089266,1.72987633767374e-86,2.83573910190299e-83,"Up","FGD4"
"ENSG00000162493",1099.63807723644,1.8912507855493,0.0959942651294697,19.7017059612731,2.08475769239069e-86,3.13269589243241e-83,"Up","PDPN"
"ENSG00000134243",5510.95647651194,2.19572522999979,0.112488189683644,19.5196067798311,7.48117697860805e-85,1.03769679444816e-81,"Up","SORT1"
"ENSG00000179094",776.600164098613,3.19178842275936,0.164048734579836,19.4563428418647,2.57518274502659e-84,3.31683537559425e-81,"Up","PER1"
"ENSG00000162692",508.164810682556,-3.69257883206757,0.190064983223639,-19.4279807328987,4.47628019340732e-84,5.38108562983472e-81,"Down","VCAM1"
"ENSG00000163884",561.111048261822,4.45916919420303,0.234793424839982,18.9918827464699,1.9906193112453e-80,2.24342796377345e-77,"Up","KLF15"
"ENSG00000178695",2649.82251474546,-2.52817101093813,0.134837261864396,-18.7497949452628,1.94338885816889e-78,2.0613639935589e-75,"Down","KCTD12"
"ENSG00000198624",2057.20440873193,2.91847590239066,0.161676129176772,18.0513716975478,7.69555582504821e-73,7.70923681318163e-70,"Up","CCDC69"
"ENSG00000148848",1365.16397466345,-1.81451079211123,0.100752189799258,-18.0096412368457,1.63685981340589e-72,1.55346611343869e-69,"Down","ADAM12"
"ENSG00000107562",25136.0890181904,-1.91163716818406,0.106290137175346,-17.9850851545186,2.54996726013866e-72,2.29905048174102e-69,"Down","CXCL12"
"ENSG00000146250",313.686159348886,-2.7561836028945,0.154504174060256,-17.8388941247607,3.52605333224933e-71,3.02770446129142e-68,"Down","PRSS35"
"ENSG00000106976",884.737400832367,-1.75622283812889,0.0998483763614613,-17.5888973073651,2.99651900148228e-69,2.45605593794221e-66,"Down","DNM1"
"ENSG00000154930",670.046865009161,1.89855975811526,0.10870086768952,17.4659117122973,2.60506153356021e-68,2.0423682423112e-65,"Up","ACSS1"
"ENSG00000163394",1216.57690967205,-2.18849632281716,0.125768430401642,-17.4009989297648,8.10766366670084e-68,6.0915579682479e-65,"Down","CCKAR"
"ENSG00000253368",1040.17481746375,1.98909855961145,0.114676175111715,17.3453514443929,2.13866190598334e-67,1.54257405954766e-64,"Up","TRNP1"
"ENSG00000163661",8565.67576080715,2.26029901629854,0.131289007083817,17.2162092356714,2.00711300822003e-66,1.39201006785475e-63,"Up","PTX3"
"ENSG00000162616",1467.63832301977,1.51914530048025,0.0882657722672001,17.211035053106,2.19473736940748e-66,1.46575941648725e-63,"Up","DNAJB4"
"ENSG00000124766",1281.45678699994,-2.41199917442462,0.141051833302819,-17.1000909236422,1.48172959380993e-65,9.54233858413597e-63,"Down","SOX4"
"ENSG00000148175",11193.7231981539,1.44790315413864,0.0848920190262983,17.0558218634204,3.16391387287516e-65,1.92452575294814e-62,"Up","STOM"
"ENSG00000197381",1969.04008868001,2.32111777250703,0.136095028259945,17.0551253942476,3.20185074248248e-65,1.92452575294814e-62,"Up","ADARB1"
"ENSG00000172403",8014.79636483276,1.74439261875808,0.103849348803204,16.7973380561463,2.55244789079395e-63,1.48470130215472e-60,"Up","SYNPO2"
"ENSG00000116285",3232.63588079279,2.4245454368468,0.144716731206533,16.7537327345143,5.31820936184603e-63,2.99681097540024e-60,"Up","ERRFI1"
"ENSG00000163083",418.919472436378,3.45008797111817,0.20858126823707,16.5407373359954,1.86722809672837e-61,1.02029869818806e-58,"Up","INHBB"
"ENSG00000166741",7432.96098233325,2.18740836425188,0.13497347278714,16.2062094060625,4.55830623979067e-59,2.41751112105604e-56,"Up","NNMT"
"ENSG00000070404",2128.12177561681,1.81553988157877,0.11373908098251,15.9623224128033,2.33864690744006e-57,1.20487088671312e-54,"Up","FSTL3"
"ENSG00000105989",333.209551189313,-3.04198433758216,0.190975882674843,-15.9286308562923,4.01042437624064e-57,2.00877700978809e-54,"Down","WNT2"
"ENSG00000122035",943.340735322473,2.28888428084314,0.145028445612372,15.7823127123683,4.11818067804927e-56,2.00700091855633e-53,"Up","RASL11A"
"ENSG00000119139",5029.85477688044,1.92796423988314,0.122715037058194,15.7109045973629,1.27348979585763e-55,6.04304421023811e-53,"Up","TJP2"
"ENSG00000136478",3701.51777497719,1.46584799202288,0.093597650251373,15.6611623057426,2.78755845779688e-55,1.28885266951265e-52,"Up","TEX2"
"ENSG00000196569",17178.4005648725,2.03067033524043,0.133240610520188,15.2406261672957,1.90040312102544e-52,8.56701726958268e-50,"Up","LAMA2"
"ENSG00000108821",100989.91598642,-1.30491859104933,0.0860588837156562,-15.1630899066837,6.20787408748632e-52,2.73025330598911e-49,"Down","COL1A1"
"ENSG00000221866",847.490034652657,2.75317274878589,0.181973471873455,15.129528059455,1.03434507638921e-51,4.440788194631e-49,"Up","PLXNA4"
"ENSG00000100242",2236.24203648175,1.85906676252756,0.123334758418068,15.0733401222215,2.42534952977757e-51,1.00151810463876e-48,"Up","SUN2"
"ENSG00000172986",756.360325010941,-1.57287441149053,0.104351568259975,-15.0728392272166,2.44381081433592e-51,1.00151810463876e-48,"Down","GXYLT2"
"ENSG00000060718",363.7631440814,2.42734809208389,0.161397331111328,15.0395801180229,4.04105047146018e-51,1.55038770428447e-48,"Up","COL11A1"
"ENSG00000134686",2737.98162586977,1.38758324462713,0.0922591710819324,15.040057572107,4.0120100762163e-51,1.55038770428447e-48,"Up","PHC2"
"ENSG00000145685",2018.15055205869,-1.23991059061105,0.0824318752578362,-15.0416399812909,3.91723993318746e-51,1.55038770428447e-48,"Down","LHFPL2"
"ENSG00000099337",530.058849354171,2.71832699288339,0.181169714307164,15.0043124110391,6.88002069686813e-51,2.58459444179013e-48,"Up","KCNK6"
"ENSG00000157150",167.615767587415,2.94523647868418,0.196435685697734,14.9933881322163,8.11079011318424e-51,2.9847707616518e-48,"Up","TIMP4"
